game_id,title,console,publisher,critic_score,total_shipped,release_date,last_update,game_url,japan_sales,na_sales,europe_sales,others_sales,total_units
181292,Pokémon: Ultra Sun and Ultra Moon,3DS,Nintendo,8.1,9.23m,17th Nov 17,03rd Aug 18,https://www.vgchartz.com/game/181292/pokemon-ultra-sun-and-ultra-moon/?region=All,2.55,2.46,1.74,0.4,7.15
4030,Pokémon Red / Green / Blue Version,GB,Nintendo,9.4,31.38m,30th Sep 98,N/A,https://www.vgchartz.com/game/4030/pokemon-red-green-blue-version/?region=All,10.22,11.27,8.89,1,31.37
71449,Pokémon X/Y    ,3DS,Nintendo,8.9,16.76m,12th Oct 13,06th Jan 18,https://www.vgchartz.com/game/71449/pokemon-xy/?region=All,4.4,5.68,5.06,0.99,16.13
81906,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,Nintendo,N/A,14.63m,21st Nov 14,03rd Aug 18,https://www.vgchartz.com/game/81906/pokemon-omega-rubypokemon-alpha-sapphire/?region=All,3.15,4.78,3.98,0.82,12.73
91783,Pokémon Sun/Moon,3DS,Nintendo,9,16.33m,18th Nov 16,03rd Aug 18,https://www.vgchartz.com/game/91783/pokemon-sunmoon/?region=All,3.82,6.02,4.34,0.99,15.17
223748,Pokémon Sword / Shield    ,NS,Nintendo,N/A,26.60m,15th Nov 19,21st Nov 19,https://www.vgchartz.com/game/223748/pokemon-sword-shield/?region=All,,,,,26.6
44573,Pokémon Black / White Version    ,DS,Nintendo,8.6,15.64m,06th Mar 11,N/A,https://www.vgchartz.com/game/44573/pokemon-black-white-version/?region=All,5.66,5.51,3.2,0.8,15.18
4022,Pokémon Diamond / Pearl Version,DS,Nintendo,8.6,17.67m,28th Apr 07,N/A,https://www.vgchartz.com/game/4022/pokemon-diamond-pearl-version/?region=All,6.04,6.38,4.47,1.36,18.25
34267,Pokémon Heart Gold / Soul Silver Version    ,DS,Nintendo,8.6,12.72m,14th Mar 10,N/A,https://www.vgchartz.com/game/34267/pokemon-heart-gold-soul-silver-version/?region=All,3.96,4.34,2.72,0.76,11.78
70468,Pokémon Black 2 and White 2    ,DS,Nintendo,8,8.52m,07th Oct 12,25th Feb 18,https://www.vgchartz.com/game/70468/pokemon-black-2-and-white-2/?region=All,3.16,2.79,1.79,0.43,8.16
4025,Pokémon Gold / Silver Version,GB,Nintendo,9.2,23.10m,14th Oct 00,N/A,https://www.vgchartz.com/game/4025/pokemon-gold-silver-version/?region=All,7.2,9,6.18,0.71,23.1
23893,Pokémon Platinum Version,DS,Nintendo,8.3,7.60m,22nd Mar 09,N/A,https://www.vgchartz.com/game/23893/pokemon-platinum-version/?region=All,2.69,2.76,1.73,0.54,7.72
4035,Pokémon Yellow: Special Pikachu Edition,GB,Nintendo,8.7,14.64m,19th Oct 99,N/A,https://www.vgchartz.com/game/4035/pokemon-yellow-special-pikachu-edition/?region=All,3.12,5.89,5.04,0.59,14.64
4031,Pokémon Ruby / Sapphire Version,GBA,Nintendo,8.8,16.22m,17th Mar 03,N/A,https://www.vgchartz.com/game/4031/pokemon-ruby-sapphire-version/?region=All,5.38,6.06,3.9,0.5,15.85
223377,"Pokémon: Let's Go, Pikachu/Eevee    ",NS,Nintendo,N/A,15.07m,16th Nov 18,31st Jan 19,https://www.vgchartz.com/game/223377/pokemon-lets-go-pikachueevee/?region=All,,,,,15.07
4024,Pokémon FireRed / LeafGreen Version,GBA,Nintendo,8.3,12.00m,07th Sep 04,N/A,https://www.vgchartz.com/game/4024/pokemon-firered-leafgreen-version/?region=All,3.15,4.34,2.65,0.35,10.49
4023,Pokémon Emerald Version,GBA,Nintendo,7.7,7.06m,30th Apr 05,N/A,https://www.vgchartz.com/game/4023/pokemon-emerald-version/?region=All,2.06,2.57,1.58,0.21,6.41
85570,Pokémon Super Mystery Dungeon,3DS,Nintendo,7.7,1.67m,20th Nov 15,03rd Aug 18,https://www.vgchartz.com/game/85570/pokemon-super-mystery-dungeon/?region=All,0.35,0.51,0.46,0.09,1.41
1761,Pokémon Colosseum,GC,Nintendo,7,2.41m,22nd Mar 04,N/A,https://www.vgchartz.com/game/1761/pokemon-colosseum/?region=All,0.7,1.21,0.57,0.07,2.54
1770,Pokémon XD: Gale of Darkness,GC,Nintendo,6.9,1.42m,28th Sep 05,N/A,https://www.vgchartz.com/game/1770/pokemon-xd-gale-of-darkness/?region=All,0.31,0.71,0.19,0.03,1.25
230402,Pokémon Scarlet / Violet    ,NS,Nintendo,N/A,26.38m,18th Nov 22,31st May 22,https://www.vgchartz.com/game/230402/pokemon-scarlet-violet/?region=All,,,,,26.38
228356,Pokémon Brilliant Diamond / Shining Pearl    ,NS,Nintendo,N/A,15.06m,19th Nov 21,26th Feb 21,https://www.vgchartz.com/game/228356/pokemon-brilliant-diamond-shining-pearl/?region=All,,,,,15.06
228357,Pokémon Legends: Arceus    ,NS,Nintendo,N/A,14.83m,28th Jan 22,26th Feb 21,https://www.vgchartz.com/game/228357/pokemon-legends-arceus/?region=All,,,,,14.83
4021,Pokémon Crystal Version,GBC,Nintendo,8.7,6.39m,29th Jul 01,06th Jan 18,https://www.vgchartz.com/game/4021/pokemon-crystal-version/?region=All,1.29,2.55,1.56,0.99,6.39
4019,Pokémon Battle Revolution,Wii,Nintendo,5.2,1.95m,25th Jun 07,N/A,https://www.vgchartz.com/game/4019/pokemon-battle-revolution/?region=All,0.3,0.78,0.37,0.13,1.59
225926,Pokémon Mystery Dungeon: Rescue Team DX,NS,Nintendo,N/A,1.99m,06th Mar 20,05th Aug 20,https://www.vgchartz.com/game/225926/pokemon-mystery-dungeon-rescue-team-dx/?region=All,,,,,1.99
1766,Pokémon Snap,N64,Nintendo,7.9,3.63m,30th Jun 99,20th Apr 18,https://www.vgchartz.com/game/1766/pokemon-snap/?region=All,0.66,2.23,0.68,0.06,3.63
71153,Pokémon Mystery Dungeon: Gates to Infinity,3DS,Nintendo,5.9,1.39m,24th Mar 13,05th Jan 18,https://www.vgchartz.com/game/71153/pokemon-mystery-dungeon-gates-to-infinity/?region=All,0.47,0.44,0.32,0.07,1.31
1767,Pokémon Stadium,N64,Nintendo,7.5,5.46m,06th Mar 00,N/A,https://www.vgchartz.com/game/1767/pokemon-stadium/?region=All,0.94,3.18,1.24,0.09,5.45
70562,Pokémon Conquest    ,DS,Nintendo,N/A,N/A,18th Jun 12,30th Jul 18,https://www.vgchartz.com/game/70562/pokemon-conquest/?region=All,0.37,0.56,0.05,0.05,1.02
51880,Pokémon Rumble Blast    ,3DS,Nintendo,5.3,1.40m,24th Oct 11,N/A,https://www.vgchartz.com/game/51880/pokemon-rumble-blast/?region=All,0.35,0.47,0.26,0.07,1.15
7390,Pokémon Mystery Dungeon: Explorers of Time / Darkness,DS,Nintendo,6.4,4.88m,20th Apr 08,N/A,https://www.vgchartz.com/game/7390/pokemon-mystery-dungeon-explorers-of-time-darkness/?region=All,1.54,1.83,1.19,0.37,4.94
33235,Pokémon Mystery Dungeon: Explorers of Sky,DS,Nintendo,5.7,1.49m,12th Oct 09,N/A,https://www.vgchartz.com/game/33235/pokemon-mystery-dungeon-explorers-of-sky/?region=All,0.44,0.57,0.43,0.12,1.56
1765,Pokémon Ranger,DS,Nintendo,6.6,2.93m,30th Oct 06,N/A,https://www.vgchartz.com/game/1765/pokemon-ranger/?region=All,0.73,1.28,0.03,0.12,2.15
