title,category,console,publisher,release_year,abbr_title,game_url,game_id,release_date,last_update,japan_sales,na_sales,europe_sales,others_sales,total_units,total_shipped,meta_score,user_review,near_movie_release,release_gap_days,release_gap_years
Pokémon Red / Green / Blue Version,CORE_RPG,GB,Nintendo,1998,R/G/B,https://www.vgchartz.com/game/4030/pokemon-red-green-blue-version/?region=All,4030,1998-09-30,,10.22,11.27,8.89,1.0,31.37,31.38,,,0,,
Pokémon Snap,SPIN_OFF,N64,Nintendo,1999,Snap,https://www.vgchartz.com/game/1766/pokemon-snap/?region=All,1766,1999-06-30,4/20/2018,0.66,2.23,0.68,0.06,3.63,3.63,77.0,7.7,1,273 days,0.7479452054794521
Pokémon Pinball,SPIN_OFF,GBC,Nintendo,1999,Pinball,https://www.vgchartz.com/game/4028/pokemon-pinball/?region=All,4028,1999-07-31,1/6/2018,1.01,3.02,1.12,0.16,5.31,5.31,,,1,31 days,0.08493150684931507
Pokémon Yellow: Special Pikachu Edition,CORE_UPGRADE,GB,Nintendo,1999,Y,https://www.vgchartz.com/game/4035/pokemon-yellow-special-pikachu-edition/?region=All,4035,1999-10-19,,3.12,5.89,5.04,0.59,14.64,14.64,,,1,80 days,0.2191780821917808
Pokémon Stadium,SPIN_OFF,N64,Nintendo,2000,Stadium,https://www.vgchartz.com/game/1767/pokemon-stadium/?region=All,1767,2000-03-06,,0.94,3.18,1.24,0.09,5.45,5.46,,,1,139 days,0.38082191780821917
Pokémon Trading Card Game,SPIN_OFF,GB,Nintendo,2000,TCG,https://www.vgchartz.com/game/4033/pokemon-trading-card-game/?region=All,4033,2000-04-10,,1.38,1.49,0.73,0.1,3.7,3.72,,,1,35 days,0.0958904109589041
Pokémon Puzzle League,SPIN_OFF,N64,Nintendo,2000,Puzzle League,https://www.vgchartz.com/game/1764/pokemon-puzzle-league/?region=All,1764,2000-09-01,,0.0,0.36,0.08,0.01,0.45,,81.0,8.5,1,144 days,0.39452054794520547
Pokémon Gold / Silver Version,CORE_RPG,GB,Nintendo,2000,G/S,https://www.vgchartz.com/game/4025/pokemon-gold-silver-version/?region=All,4025,2000-10-14,,7.2,9.0,6.18,0.71,23.1,23.1,,,1,43 days,0.1178082191780822
Pokémon Stadium 2,SPIN_OFF,N64,Nintendo,2001,Stadium 2,https://www.vgchartz.com/game/1768/pokemon-stadium-2/?region=All,1768,2001-03-28,,1.13,1.02,0.36,0.23,2.73,2.54,78.0,8.3,1,165 days,0.4520547945205479
Pokémon TCG,SPIN_OFF,GB,Nintendo,2001,TCG,https://www.vgchartz.com/game/4034/pokemon-card-gb2-grdan-sanjou/?region=All,4034,2001-03-28,,0.89,0.0,0.0,0.0,0.89,,,,1,0 days,0.0
Pokémon Crystal Version,CORE_UPGRADE,GBC,Nintendo,2001,C,https://www.vgchartz.com/game/4021/pokemon-crystal-version/?region=All,4021,2001-07-29,1/6/2018,1.29,2.55,1.56,0.99,6.39,6.39,,,1,123 days,0.336986301369863
Pokémon Ruby / Sapphire Version,CORE_RPG,GBA,Nintendo,2003,R/S,https://www.vgchartz.com/game/4031/pokemon-ruby-sapphire-version/?region=All,4031,2003-03-17,,5.38,6.06,3.9,0.5,16.22,16.22,82.0,8.6,1,596 days,1.632876712328767
Pokémon Pinball: 2,SPIN_OFF,GBA,Nintendo,2003,Pinball 2,https://www.vgchartz.com/game/6388/pokemon-pinball-ruby-amp-sapphire-old-all-region-sales/?region=All,6388,2003-08-26,9/4/2018,0.44,0.68,0.38,0.05,1.56,1.37,82.0,8.6,1,162 days,0.4438356164383562
